Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Process Greenability (característica proposta neste artigo),usado,“Bearing all this in mind … we have proposed a new characteristic (Process Greenability) and its associated subcharacteristics … The model provides a terminological framework that could serve as a reference when evaluating Green BPM.”
Opitz et al. 2012 - Kick-starting green business process management - su ... odeling languages and key processes for green performance measurement.pdf
Modelo,Utilizado_para_construir_medidores,Trecho_do_texto_que_corrobor a_informa ção
Triple Bottom Line (TBL),"Sim – mencionado como base para avaliar desempenho econômico, social e ambiental","“Performance according to the Triple Bottom Line (economic, social and environmental).”  e  “Qualitative evaluation of performance on the triple bottom line : the use of heuristics for key performance indicators…”"
Key Performance Indicators (KPIs),"Apenas citado – sugerido como instrumento, mas não detalhado nem aplicado","“Qualitative evaluation of performance on the triple bottom line : the use of heuristics for key performance indicators, the use of stories to represent what is happening…”"
Law of Requisite Variety,"Apenas citado – citado como conceito de capacidade adaptativa, não como medidor concreto","“The Law of Requisite Variety (Ashby, 1957) tells us that an enterprise will only succeed if it includes in its systems the capability to match the level of complexity and diversity of the context in which it operates.”"
Van Rensburg 1998 - A framework for business process management.pdf
Modelo,TipoUso,Trecho
Balanced Scorecard,Construir medidores,"“…formal design methodology, specification and integration architecture for business processes are required. This includes the integration of metrics, standards and performance levels into a balanced scorecard to manage performance on an organisational wide basis.”"
Balanced performance measures,Apenas citado,"“…organisations require new capabilities such as change roadmaps, knowledge management and balanced performance measures.”"
Sholberg and Illback 2000 - Application integration framework for a large business process redesign project.pdf
Modelo,Uso,Trecho de suporte
Elapsed time,Usado para construir medidores,"""The most common performance metric measures the elapsed time needed to perform an operation."""
Utilization,Usado para construir medidores,"""However, performance also measures utilization – the relative return on the use of a resource."""
System health metrics (audit log),Usado para construir medidores,"""Furthermore, the audit log generates metrics that support monitoring integrated system health."""
Reliability,Usado para construir medidores,"""As a footnote, the actual reliability for the program in the last few years has exceeded that of Boeing’s mainframe legacy systems."""
El Hadj Amor and Ghannouchi 2017 - Towards managing key performance indicators for measuring business process performance.pdf
"Modelo de cubo de dados enriquecido para Performance Indicators;""apenas citado"";""So"," the authors in [21] propose to enrich the data cube model with the formal description of the structure of an indicator given in terms of its algebraic formula and aggregation function."""
"Ontologia de KPIs (OWL) para representar indicadores e atividades do processo;""usado para construir medidores"";""In this section"," we present in Fig. 2 our ontology for the representation of KPIs and process activities… The main benefit of this ontology is to offer the opportunity to continuously improve the BP by manipulating relationships…"""
Smith and McKeen 1996 - Measuring IS - how does your organization rate.pdf
Modelo,Uso,Trecho que comprova  
Baldrige Criteria (Malcolm Baldrige National Quality Award),usado para construir medidores,"“The U.S. National Quality Institute … suggests there are three components of effective information and analysis … (Baldridge Criteria, 1993)… These criteria can also be used by individual corporate sub-units to determine how well they contribute to overall quality and performance.”  "
Function Point Analysis,usado para construir medidores,"“Determining the function points associated with a system to estimate a system's benefits …”  e nas listas de métricas: “Function Points / Work Month”, “Number of Changes / 100 Function Points”.  "
Return on Investment (ROI),usado para construir medidores,Em ‘Project Performance’: “• ROI”.  
Return on Equity (ROE),apenas citado,"“For example, measures such as return on equity (ROE) … cannot reflect the many and varied impacts systems can have on an organization …”  "
Return on Assets (ROA),apenas citado,"“For example, measures such as return on equity (ROE) or return on assets (ROA) for a project, cannot reflect the many and varied impacts systems can have on an organization …”  "
Customer Satisfaction Index,usado para construir medidores,Em ‘Some Suggested Diagnostic Measures’: “• Customer Satisfaction Index [Customer]”.
Schepers et al. 2008 - A lifecycle approach to SOA governance.pdf
"COBIT 4.1;Não;""Through frameworks such as COBIT [11]"," IT governance has been implemented by rigid procedures to manage resources and record decisions."""
"Service Integration Maturity Model (SIMM);Não;""One maturity model that has been designed specifically for SOA is the Service Integration Maturity Model … While this model is useful for describing the architecture"," it does not relate to governance issues."""
Bonini et al. 2020 - Planning of Available Resources Considering Ergonomics Under Deterministic Highly Variable Demand.pdf
modelo,uso_para_medidores,trecho_corroboracao
Key Indicator Method (KIM-LHC / KIM-PP),constrói_medidores,"“A separate consideration is possible for instance by using a key indicator method of the Federal Institute for Occupational Safety and Health of Germany [22], [23] … which show maximum acceptable weights and forces for a variety of tasks.”"
Ergonomic Assessment Worksheet (EAWS),constrói_medidores,"“…then for each one of them, thanks to methods such as Ergonomic Assessment Worksheet or MTM-analysis orientated metabolic cost calculation [25], the punctual ergonomic risk could be estimated.”"
NIOSH lifting procedures,constrói_medidores,“Examples of external norms embedding usable thresholds are the NIOSH procedures (National Institute for Occupational Safety and Health) … indicating threshold values.”
VDI 4400 – logistic indicators for distribution,apenas_citação,"“[15] Verein Deutscher Ingenieure, ‘VDI 4400  – Part 2 – Logistic indicators for distribution’ …”"
